číslo úseku,TYP KOMUNIKACE - KÓDY,staničení od,staničení do,délka,komunikace,,do,stavební stav,STAVEBNÍ STAV,POVRCH,vlastnické vztahy,doporučená opatření,investiční náklady,Kč / m,správní procesy,projektová dokumentace,DOTACE,dotace - info
1,4,"0,000","2,200",2 200,III/325 44,Les Království,Bílá Třemešná,dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,60,25,,,,
2,3,"2,200","2,690",490,MK,Bílá Třemešná,,dobrý – zpevněný,1,1,obecní  pozemky,svislé a vodorovné značení,20,25,,,,
3,4,"2,690","4,635",1 945,III/300 10,Bílá Třemešná,Mezihoří,dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,50,25,,,,
4,4,"4,635","5,720",1 085,III/300 9,Mezihoří,Třebihošť,dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,30,25,,,,
5,4,"5,720","6,195",475,III/300 8,Třebihošť,,dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,20,25,,,,
6,4,"6,195","9,255",3 060,III/284 48,Třebihošť,Miletínské Lázně,dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,80,25,,,,
7,4,"9,255","10,750",1 495,III/284 47,Miletínské Lázně,"Miletín, II/284",dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,40,25,,,,
8,4,"10,750","11,610",860,II/284,"Miletín, III/284 47","Miletín, II/300",dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,30,25,,,,
9,4,"11,610","12,055",445,II/300,"Miletín, II/284","Miletín, III/300 10",dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,20,25,,,,
10,4,"12,055","17,245",5 190,III/300 10,Miletín,Hořice,dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,130,25,,,,
11,4,"17,245","18,425",1 180,III/325 20,"Hořice, III/300 10","Hořice, II/300",dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,30,25,,,,
12,4,"18,425","18,545",120,II/300,"Hořice, III/325 20","Hořice, Klicperova",dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,10,25,,,,
13,3,"18,545","19,160",615,MK Klicperova,"Hořice, Husova","Hořice, lávka I/35",dobrý – zpevněný,1,1,obecní  pozemky,svislé a vodorovné značení,20,25,,,,
14,5,"19,160","19,270",110,lávka přes I/35,"Hořice, Klicperova",Libonice,bez opatření pro pěší a cyklodopravu,2,2,obecní  pozemky,novostavba lávky,investiční akce v projektové přípravě,25,,,2,"dotace na stavbu, 17RRD05-0007, Hořice"
15,3,"19,270","19,970",700,UK,Libonice,"U Libonic, III/326 7",dobrý – nezpevněný,1,2,obecní  pozemky,svislé a vodorovné značení,20,25,,,,
16,4,"19,970","21,340",1 370,III/326 7,U Libonic,Dobrá Voda,dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,40,25,,,,
17,4,"21,340","25,255",3 915,III/280 54,Dobrá Voda,"Lískovice, okraj",dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,100,25,,,,
18,4,"25,255","25,960",705,III/280 53,"Lískovice, okraj","Lískovice, střed",dobrý – zpevněný,1,1,Královéhradecký kraj,svislé a vodorovné značení,20,25,,,,
19,4,"25,960","29,130",3 170,III/280 48,"Lískovice, střed","Tereziny Dary, odbočka z CT14",dobrý – zpevněný,1,1,Královéhradecký kraj,"rekonstrukce krytu, svislé a vodorovné značení",6 340,2 000,stavební řízení,DSP 500,,
